topic,category
capital punishment for murder,"Justice, Constitution, and Indigenous Affairs"
capital punishment as a crime deterrent,"Justice, Constitution, and Indigenous Affairs"
dismissal of the St. Gedeon postmaster,Government and Parliamentary Affairs
Canadian National Railways coal freight statistics,Transportation and Communications
Royal Commission on Pulpwood evidence disclosure,Natural Resources and Intergovernmental Relations
Ottawa River water-power development at Carillon,Natural Resources and Intergovernmental Relations
Royal Canadian Mounted Police staffing and appointments,"Justice, Constitution, and Indigenous Affairs"
Special War Revenue Act sales tax provisions,Public Finance and Taxation
sales tax licensing requirements,Public Finance and Taxation
objection to indirect sales taxation,Public Finance and Taxation
definition of substantial portion in tax legislation,Public Finance and Taxation
sales tax administration and refund mechanisms,Public Finance and Taxation
Canadian National Railways coal procurement confidentiality,Transportation and Communications
sales tax amendments on lumber and imports,Public Finance and Taxation
sales tax assessment authority,Public Finance and Taxation
lumber taxation under the Special War Revenue Act,Public Finance and Taxation
sales tax valuation for retail manufacturers,Public Finance and Taxation
sales tax regulations for jobbers,Public Finance and Taxation
French translation of Special War Revenue Act,Government and Parliamentary Affairs
parliamentary grant for Dr. Frederick Banting,Government and Parliamentary Affairs
sales tax on imported manufacturing materials,Public Finance and Taxation
customs duties and ministerial rulings,International Trade and Tariffs
application of the sales tax,Public Finance and Taxation
restriction of Japanese immigration to Canada,"Justice, Constitution, and Indigenous Affairs"
construction of the Toronto railway viaduct,Transportation and Communications
national recognition for insulin researchers,Government and Parliamentary Affairs
national recognition of Dr. F. G. Banting,Government and Parliamentary Affairs
parliamentary recognition of Dr. Banting,Government and Parliamentary Affairs
national reserve system interest rates,Banking and Monetary Policy
sales tax on magazine and periodical publishing,Public Finance and Taxation
sales tax on manufacturing imports,Public Finance and Taxation
stamp tax administrative enforcement,Public Finance and Taxation
government assistance for the hemp industry,Agriculture and Food Policy
Toronto waterfront viaduct construction,Transportation and Communications
sales tax exemptions for newsprint and paper,Public Finance and Taxation
stamp duty fine for unstamped receipts,Public Finance and Taxation
Toronto waterfront viaduct construction agreement,Transportation and Communications
parliamentary annuity for Dr. Frederick Banting,Government and Parliamentary Affairs
construction of a subway in Truro,Transportation and Communications
Halibut Fishery Treaty with the United States,Natural Resources and Intergovernmental Relations
Toronto railway viaduct and station infrastructure,Transportation and Communications
Pacific halibut fishery treaty ratification,Natural Resources and Intergovernmental Relations
delayed government responses to order paper questions,Government and Parliamentary Affairs
ratification of the Halibut Treaty,Natural Resources and Intergovernmental Relations
Canada's treaty-making power and national status,"Justice, Constitution, and Indigenous Affairs"
Toronto viaduct railway information request,Transportation and Communications
Halibut fisheries treaty with the United States,Natural Resources and Intergovernmental Relations
